House,Time,TV,Agg,hour,half_hour,quarter_hour,hour_float,TV_min,TV_max,max_consumption,half_consumption_power,on_threshold,on,Agg_diff,switched_on_tv
3,494.0,1.778,34.178999999999995,8,16,32,8.233333333333333,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,0,30.539999999999996,0
3,495.0,21.6,54.64,8,16,33,8.25,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,20.461000000000006,0
3,496.0,0.877,34.675000000000004,8,16,33,8.266666666666667,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-19.964999999999996,0
3,497.0,0.9670000000000001,31.197,8,16,33,8.283333333333333,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-3.478000000000005,0
3,498.0,1.578,34.784000000000006,8,16,33,8.3,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,3.587000000000007,0
3,499.0,0.6809999999999999,31.026999999999997,8,16,33,8.316666666666666,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-3.7570000000000086,0
3,500.0,1.246,34.31700000000001,8,16,33,8.333333333333334,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,3.29000000000001,0
3,501.0,0.53,30.537000000000006,8,16,33,8.35,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-3.780000000000001,0
3,502.0,0.856,29.673000000000002,8,16,33,8.366666666666667,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-0.8640000000000043,0
3,503.0,18.644,111.441,8,16,33,8.383333333333333,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,81.768,1
3,504.0,0.787,89.36900000000001,8,16,33,8.4,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-22.07199999999999,0
3,505.0,66.587,153.851,8,16,33,8.416666666666666,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,64.48199999999999,1
3,506.0,68.48100000000001,162.02599999999995,8,16,33,8.433333333333334,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,8.174999999999955,0
3,507.0,61.2,154.86,8,16,33,8.45,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-7.16599999999994,0
3,508.0,67.227,158.06,8,16,33,8.466666666666667,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,3.1999999999999886,0
3,509.0,68.402,162.625,8,16,33,8.483333333333333,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,4.564999999999998,0
3,510.0,66.727,160.185,8,17,34,8.5,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-2.4399999999999977,0
3,511.0,67.444,157.93499999999997,8,17,34,8.516666666666667,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-2.2500000000000284,0
3,512.0,72.531,164.71,8,17,34,8.533333333333333,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,6.775000000000034,0
3,513.0,69.686,165.92100000000005,8,17,34,8.55,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,1.2110000000000412,0
3,514.0,71.77199999999999,167.85600000000005,8,17,34,8.566666666666666,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,1.9350000000000023,0
3,515.0,70.73899999999999,105.035,8,17,34,8.583333333333334,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-62.821000000000055,-1
3,516.0,69.796,100.11200000000002,8,17,34,8.6,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-4.922999999999973,0
3,517.0,64.193,98.27,8,17,34,8.616666666666667,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-1.8420000000000272,0
3,518.0,66.48899999999999,98.18400000000004,8,17,34,8.633333333333333,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-0.08599999999995589,0
3,519.0,66.556,99.661,8,17,34,8.65,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,1.4769999999999612,0
3,520.0,66.46300000000001,99.461,8,17,34,8.666666666666666,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-0.20000000000000284,0
3,521.0,63.445,92.609,8,17,34,8.683333333333334,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-6.852000000000004,0
3,522.0,65.61,94.56200000000001,8,17,34,8.7,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,1.9530000000000172,0
3,523.0,66.679,97.715,8,17,34,8.716666666666667,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,3.1529999999999916,0
3,524.0,64.524,95.96700000000001,8,17,34,8.733333333333333,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-1.7479999999999905,0
3,525.0,68.22800000000001,99.57700000000001,8,17,35,8.75,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,3.6099999999999994,0
3,526.0,64.368,66.827,8,17,35,8.766666666666667,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-32.750000000000014,0
3,527.0,67.378,70.252,8,17,35,8.783333333333333,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,3.424999999999997,0
3,528.0,65.294,67.14299999999999,8,17,35,8.8,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-3.109000000000009,0
3,529.0,66.757,69.391,8,17,35,8.816666666666666,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,2.248000000000019,0
3,530.0,64.895,67.347,8,17,35,8.833333333333334,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-2.044000000000011,0
3,531.0,66.465,68.99600000000001,8,17,35,8.85,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,1.6490000000000151,0
3,532.0,65.78699999999999,67.557,8,17,35,8.866666666666667,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-1.4390000000000072,0
3,533.0,65.605,67.865,8,17,35,8.883333333333333,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,0.3079999999999927,0
